"county","year","month","month_name","mean_temp","total_precip"
"Baringo",1964,5,"May",23.4680404663086,21.6636524200439
"Baringo",1964,6,"Jun",21.909143447876,125.090278625488
"Baringo",1964,7,"Jul",21.3369464874268,122.613128662109
"Baringo",1964,8,"Aug",21.3271503448486,53.7367248535156
"Baringo",1964,9,"Sep",19.0802707672119,302.48876953125
"Baringo",1964,10,"Oct",18.5932025909424,274.300323486328
"Baringo",1964,11,"Nov",19.4330234527588,200.287246704102
"Baringo",1964,12,"Dec",19.8496437072754,138.977233886719
"Baringo",1965,1,"Jan",21.5193405151367,12.4292640686035
"Baringo",1965,2,"Feb",20.7328948974609,20.1918296813965
"Baringo",1965,3,"Mar",21.6572284698486,15.4446067810059
"Baringo",1965,4,"Apr",22.8597679138184,4.96627616882324
"Baringo",1965,5,"May",22.9520721435547,42.4033737182617
"Baringo",1965,6,"Jun",22.0253505706787,112.585182189941
"Baringo",1965,7,"Jul",21.7656269073486,64.3956909179688
"Baringo",1965,8,"Aug",21.9657669067383,40.8892440795898
"Baringo",1965,9,"Sep",20.6274757385254,119.159339904785
"Baringo",1965,10,"Oct",20.4348487854004,117.546745300293
"Baringo",1965,11,"Nov",22.8286170959473,18.9391937255859
"Baringo",1965,12,"Dec",22.2794494628906,118.2490234375
"Baringo",1966,1,"Jan",21.4271774291992,84.9284591674805
"Baringo",1966,2,"Feb",21.9203987121582,67.6540298461914
"Baringo",1966,3,"Mar",23.5992240905762,8.31843566894531
"Baringo",1966,4,"Apr",24.2181186676025,18.3604106903076
"Baringo",1966,5,"May",22.7494621276855,69.2699584960938
"Baringo",1966,6,"Jun",22.1642398834229,150.450439453125
"Baringo",1966,7,"Jul",23.298641204834,27.2099132537842
"Baringo",1966,8,"Aug",22.4385547637939,42.6851654052734
"Baringo",1966,9,"Sep",20.8517761230469,161.042282104492
"Baringo",1966,10,"Oct",20.5813121795654,163.870697021484
"Baringo",1966,11,"Nov",21.2033557891846,98.1939468383789
"Baringo",1966,12,"Dec",22.3421115875244,67.2877731323242
"Baringo",1967,1,"Jan",21.8398685455322,56.2566337585449
"Baringo",1967,2,"Feb",23.1361484527588,2.04924130439758
"Baringo",1967,3,"Mar",23.0552310943604,1.48723411560059
"Baringo",1967,4,"Apr",24.1174354553223,3.55201649665833
"Baringo",1967,5,"May",24.8324737548828,17.1174793243408
"Baringo",1967,6,"Jun",21.0328845977783,195.85710144043
"Baringo",1967,7,"Jul",19.9074325561523,429.905303955078
"Baringo",1967,8,"Aug",19.7036323547363,160.598373413086
"Baringo",1967,9,"Sep",19.2406444549561,218.068496704102
"Baringo",1967,10,"Oct",20.0083866119385,75.5223083496094
"Baringo",1967,11,"Nov",21.8786315917969,22.9545669555664
"Baringo",1967,12,"Dec",21.3076171875,131.548202514648
"Baringo",1968,1,"Jan",19.6535682678223,258.809661865234
"Baringo",1968,2,"Feb",20.1958618164062,3.56661105155945
"Baringo",1968,3,"Mar",22.0902862548828,0.838739395141602
"Baringo",1968,4,"Apr",21.4333820343018,171.988616943359
"Baringo",1968,5,"May",20.2805500030518,174.707366943359
"Baringo",1968,6,"Jun",20.6315269470215,221.555328369141
"Baringo",1968,7,"Jul",20.0472087860107,214.399932861328
"Baringo",1968,8,"Aug",20.236837387085,47.6368217468262
"Baringo",1968,9,"Sep",19.4699840545654,154.084548950195
"Baringo",1968,10,"Oct",19.7937297821045,147.647705078125
"Baringo",1968,11,"Nov",22.1550960540771,12.9601268768311
"Baringo",1968,12,"Dec",22.5080471038818,49.9667549133301
"Baringo",1969,1,"Jan",21.2074871063232,50.9021911621094
"Baringo",1969,2,"Feb",20.7800979614258,70.0962219238281
"Baringo",1969,3,"Mar",22.5527687072754,33.009204864502
"Baringo",1969,4,"Apr",22.0022239685059,53.6385231018066
"Baringo",1969,5,"May",22.8952884674072,31.6429710388184
"Baringo",1969,6,"Jun",24.6093635559082,2.13493609428406
"Baringo",1969,7,"Jul",21.561559677124,169.54475402832
"Baringo",1969,8,"Aug",22.0413589477539,57.625186920166
"Baringo",1969,9,"Sep",20.5216026306152,132.952911376953
"Baringo",1969,10,"Oct",21.0169200897217,64.7566299438477
"Baringo",1969,11,"Nov",21.9678497314453,78.2621841430664
"Baringo",1969,12,"Dec",22.8372325897217,39.6040115356445
"Baringo",1970,1,"Jan",22.3945770263672,34.2522850036621
"Baringo",1970,2,"Feb",22.759391784668,9.04118728637695
"Baringo",1970,3,"Mar",22.0233516693115,84.5127410888672
"Baringo",1970,4,"Apr",24.0440692901611,1.99741017818451
"Baringo",1970,5,"May",22.6790370941162,129.857116699219
"Baringo",1970,6,"Jun",21.6625022888184,159.733169555664
"Baringo",1970,7,"Jul",21.2271766662598,187.693908691406
"Baringo",1970,8,"Aug",20.6320686340332,79.1289291381836
"Baringo",1970,9,"Sep",20.40842628479,77.7734832763672
"Baringo",1970,10,"Oct",19.8662490844727,185.339263916016
"Baringo",1970,11,"Nov",20.8904647827148,88.8834457397461
"Baringo",1970,12,"Dec",22.4271602630615,40.4794807434082
"Baringo",1971,1,"Jan",22.4010620117188,20.1174278259277
"Baringo",1971,2,"Feb",22.7310752868652,4.8516526222229
"Baringo",1971,3,"Mar",23.1243705749512,10.1134605407715
"Baringo",1971,4,"Apr",23.8281803131104,6.77631282806396
"Baringo",1971,5,"May",24.0998439788818,18.1436824798584
"Baringo",1971,6,"Jun",21.3584365844727,180.967056274414
"Baringo",1971,7,"Jul",19.916955947876,293.523529052734
"Baringo",1971,8,"Aug",19.3550872802734,198.17024230957
"Baringo",1971,9,"Sep",18.7344017028809,195.984588623047
"Baringo",1971,10,"Oct",18.715461730957,247.393981933594
"Baringo",1971,11,"Nov",20.2064685821533,97.3000564575195
"Baringo",1971,12,"Dec",20.9435405731201,96.0503005981445
"Baringo",1972,1,"Jan",20.8292808532715,39.0045318603516
"Baringo",1972,2,"Feb",20.764518737793,73.2270050048828
"Baringo",1972,3,"Mar",22.2118587493896,8.46218872070312
"Baringo",1972,4,"Apr",22.1610984802246,35.2381439208984
"Baringo",1972,5,"May",24.0633640289307,2.3995349407196
"Baringo",1972,6,"Jun",24.7942485809326,5.02583408355713
"Baringo",1972,7,"Jul",22.4037322998047,107.269813537598
"Baringo",1972,8,"Aug",21.1170482635498,137.027450561523
"Baringo",1972,9,"Sep",20.3783473968506,111.162704467773
"Baringo",1972,10,"Oct",19.9558143615723,197.852920532227
"Baringo",1972,11,"Nov",22.6726837158203,48.4829788208008
"Baringo",1972,12,"Dec",22.0545501708984,150.962188720703
"Baringo",1973,1,"Jan",20.3344268798828,256.357421875
"Baringo",1973,2,"Feb",21.6358413696289,20.0353488922119
"Baringo",1973,3,"Mar",22.674524307251,20.9933109283447
"Baringo",1973,4,"Apr",23.7608642578125,38.3672523498535
"Baringo",1973,5,"May",25.0310611724854,1.44316756725311
